Year,album_name,album_img,artist_ch,album_sale,album_circulation
2011,The Boys,http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/88B76814465A4BD5907140A4E5CB34E7.jpg,少女时代,"385,348",지니뮤직
2011,5집 Mr. Simple,http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/78FF73A108EE4FE483624348DDE90073.jpg,Super Junior,"343,348",지니뮤직
2011,'왜(Keep Your Head Down)' New Album,http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/334E0D6E15D44557BE461028A2BC806B.jpg,东方神起,"263,412",지니뮤직
2011,2집 In Heaven,http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/F513A06892E441B3BBD4A20918B50E5D.jpg,JYJ,"220,442",에이앤지모즈
2011,1집 Fiction And Fact,http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/DA81021C8F94403D92E80A3347F716EC.jpg,Beast,"142,272",Universal Music
2011,빅뱅 미니앨범 4집,,BIGBANG,"136,594",지니뮤직
2011,The 5th Album Repackage A-CHA,,Super Junior,"129,894",지니뮤직
2011,1집 First Step,,CNBLUE,"115,467",Stone Music Entertainment
2011,Break Down (EP),,金贤重,"114,642",Stone Music Entertainment
2011,Lucky (2nd Mini Album),,金贤重,"101,705",Stone Music Entertainment
2011,3집 Step,,Kara,"100,662",Stone Music Entertainment
2011,Hands Up,,2PM,"100,379",로엔엔터테인먼트
2011,빅뱅 스페셜에디션,,BIGBANG,"89,371",지니뮤직
2011,2NE1 2nd Mini Album,,2NE1,"85,819",지니뮤직
2011,2집 Last Fantasy,,IU,"71,860",로엔엔터테인먼트
2011,무한도전 서해안고속도로,,Various Artists,"71,300",지니뮤직
2011,Take A Deeper Look,,朴宰范,"66,316",예당컴퍼니
2011,In Heaven (Special Edition),,JYJ,"62,790",A&G MODES
2011,1집 `피노키오` f(x) The 1st Album,,f(x),"61,637",지니뮤직
2011,왜 (Keep Your Head Down) Repackage `이것만...,,东方神起,"60,205",지니뮤직
2011,5집 Tonight,,李晟基,"60,055",로엔엔터테인먼트
2011,박칼린의 칼린 셀렉츠 (Kolleen Selects),,Various Artists,"58,734",Warner Music
2011,정규1집 OVER THE TOP,,Infinite,"57,111",Stone Music Entertainment
2011,미남이시네요 OST,,Various Artists,"56,984",Sony Music
2011,Paradise,,Infinite,"56,465",Stone Music Entertainment
2011,RETURN (EP),,FTISLAND,"52,932",지니뮤직
2011,미남이시네요 OST Part 2,,Various Artists,"51,556",Sony Music
2011,Black Eyes,,T-ara,"48,205",로엔엔터테인먼트
2011,시크릿 가든 OST Special,,Various Artists,"47,823",Sony Music
2011,The 1st Asia Tour Concert `Into The Ne...,,少女时代,"46,568",지니뮤직
2011,‘Hot Summer‘ f(x) 1st Album Repackage,,f(x),"46,032",지니뮤직
2011,2011 SMTOWN Winter `The Warmest Gift`,,SM Town,"44,467",지니뮤직
2011,Real,,IU,"42,879",로엔엔터테인먼트
2011,1st Mini Album V.V.I.P,,胜利,"41,812",지니뮤직
2011,Mona Lisa,,MBLAQ,"41,025",Stone Music Entertainment
2011,7집 처음,,成诗京,"40,742",로엔엔터테인먼트
2011,나는 가수다 경연 1 (CD),,Various Artists,"39,297",로엔엔터테인먼트
2011,SuperJunior-M 2nd Mini Album `太完美`,,Super Junior-M,"37,756",S.M. Entertainment
2011,it B1A4,,B1A4,"36,342",포니캐년코리아
2011,Memory In FTIsland (ReMake Album),,FTISLAND,"36,143",Stone Music Entertainment
2011,GD & TOP,,GD&TOP (BIGBANG),"34,703",지니뮤직
2011,2집 Wonder World,,원더걸스 (Wonder Girls),"34,140",로엔엔터테인먼트
2011,4Minutes Left,,4Minute,"34,004",Universal Music
2011,'Run Devil Run' The 2nd Album (Repackage),,少女时代,"32,147",지니뮤직
2011,Let It Go (EP),,许永生,"32,078",로엔엔터테인먼트
2011,1집 A Class,,miss A,"31,885",로엔엔터테인먼트
2011,1집 BLAQ Style,,MBLAQ,"31,634",Stone Music Entertainment
2011,First Step ＋1 Thank You,,CNBLUE,"31,447",Stone Music Entertainment
2011,1집 To Anyone,,2NE1,"31,362",Stone Music Entertainment
2011,The 3rd Asia Tour Concert Album `Super...,,Super Junior,"30,951",IRIVER
2011,Inspirit,,Infinite,"30,143",Stone Music Entertainment
2011,존트라볼타 워너비,,T-ara,"30,116",로엔엔터테인먼트
2011,2nd Mini Album `Bluelove`,,CNBLUE,"29,665",Stone Music Entertainment
2011,Trouble Maker,,트러블메이커,"29,383",Universal Music
2011,Evolution,,Infinite,"28,143",Stone Music Entertainment
2011,7집 AsuRa BalBalTa,,리쌍,"27,755",로엔엔터테인먼트
2011,KimdongrYULE,,金东律,"27,724",로엔엔터테인먼트
2011,성균관 스캔들 OST,,Various Artists,"27,224",Warner Music
2011,1집 Virgin,,After School,"26,418",로엔엔터테인먼트
2011,‘Hello’ SHINee The 2nd Album Repackage,,SHINee,"26,300",지니뮤직
2011,넌 내게 반했어 OST Part 1,,Various Artists,"26,160",Stone Music Entertainment
2011,2011 빅뱅 콘서트 라이브 앨범 `Big Show`,,BIGBANG,"25,834",지니뮤직
2011,The Beginning (Worldwide Concert In Se...,,JYJ,"25,713",Warner Music
2011,드림하이 OST,,Various Artists,"25,347",로엔엔터테인먼트
2011,4집 Sixth Sense,,브라운아이드걸스,"25,239",로엔엔터테인먼트
2011,Mini Album 1집 `Bluetory`,,CNBLUE,"24,889",Stone Music Entertainment
2011,Roly-Poly in 코파카바나 (미니 리패키지),,T-ara,"24,179",로엔엔터테인먼트
2011,보스를 지켜라 OST,,Various Artists,"23,955",SBS 콘텐츠허브
2011,3rd Mini Plus Album Real+,,IU,"23,508",로엔엔터테인먼트
2011,"서바이벌 나는 가수다 (경연 1, 2)",,Various Artists,"23,084",로엔엔터테인먼트
2011,Let`s Fly,,B1A4,"22,895",포니캐년코리아
2011,Super Junior-M 2nd Mini Album `太完美` (R...,,Super Junior-M,"22,352",지니뮤직
2011,So 女,,레인보우 (Rainbow),"21,900",Stone Music Entertainment
2011,Don′t Touch My Girl (Single),,Boyfriend,"21,106",로엔엔터테인먼트
2011,New Kids On The Block,,Block B,"21,091",로엔엔터테인먼트
2011,2집 Oh!,,少女时代,"20,588",지니뮤직
2011,Bran New Kiss (EP),,U-Kiss,"20,216",로엔엔터테인먼트
2011,매리는 외박중 OST Part 1,,Various Artists,"19,979",포니캐년코리아
2011,Lights Go On Again,,Beast,"19,894",Universal Music
2011,Shock Of The New Era,,Beast,"19,487",Universal Music
2011,미스 리플리 OST,,Various Artists,"19,248",지니뮤직
2011,Roman,,Teen Top,"19,231",로엔엔터테인먼트
2011,Vol.2 Temptastic (EP),,T-ara,"18,978",Stone Music Entertainment
2011,1집 So Cool,,Sistar,"18,815",로엔엔터테인먼트
2011,Turn Me On,,김규종,"18,735",로엔엔터테인먼트
2011,BLAQ Style 3D Edition,,MBLAQ,"18,533",Stone Music Entertainment
2011,점핑 (Jumping),,Kara,"18,475",Stone Music Entertainment
2011,‘Hoot’ The 3rd Mini Album,,少女时代,"17,759",지니뮤직
2011,매리는 외박중 OST Part 2,,Various Artists,"17,610",포니캐년코리아
2011,Feel Brand New (EP),,이루 (ERU),"17,516",로엔엔터테인먼트
2011,세시봉 친구들 (3CD),,"송창식, 윤형주, 김세환","17,465",Universal Music
2011,Not Alone (Single),,박정민,"17,450",로엔엔터테인먼트
2011,여인의 향기 OST,,Various Artists,"17,308",로엔엔터테인먼트
2011,내가 갈게 (I′ll be there),,Boyfriend,"16,999",로엔엔터테인먼트
2011,Lights Go On Again (Deluxe Special Asi...,,Beast,"16,891",Universal Music
2011,1집 Moving In Secret,,시크릿 (Secret),"16,619",로엔엔터테인먼트
2011,2011 마커스 라이브 워십,,마커스,"16,520",Sony Music
2011,3집 O -正.反.合. (정반합),,东方神起,"15,827",지니뮤직
2011,2집 Revolution,,Kara,"15,759",Stone Music Entertainment
2011,시크릿 가든 OST,,Various Artists,"15,747",Sony Music
2012,"6집 Sexy, Free & Single",http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/34FDA916454748D3A83D8745B071CAC5.jpg,Super Junior,"356,431",지니뮤직
2012,Alive,http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/EE9539C48DD549CF9D5F5278819C70E0.png,BIGBANG,"266,848",지니뮤직
2012,6집 Catch Me,http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/CFAE0EF4104B4AEF8D456FC9575A6DFD.jpg,东方神起,"256,447",지니뮤직
2012,One Of A Kind,http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/0580775FA9B742269167CAA529622A15.jpg,G-Dragon,"204,326",지니뮤직
2012,‘Sherlock’ SHINee The 4th Mini Album,http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/AA75B46C77164A7F93CCC3290DBC309A.jpg,SHINee,"181,415",지니뮤직
2012,BigBang Special Edition `Still Alive`,,BIGBANG,"148,030",지니뮤직
2012,‘MAMA’ EXO-K The 1st Mini Album,,EXO-K,"145,925",지니뮤직
2012,‘Twinkle’ TTS Mini Album,,少女时代,"144,222",지니뮤직
2012,Midnight Sun,,Beast,"144,175",Universal Music
2012,Infinitize,,Infinite,"140,277",로엔엔터테인먼트
2012,버스커 버스커 1집,,Busker Busker,"136,234",Stone Music Entertainment
2012,Tarantallegra,,XIA俊秀,"127,620",에이앤지모즈
2012,‘SPY’ The 6th Album Repackage,,Super Junior,"124,191",지니뮤직
2012,3rd Mini Album Ear Fun,,CNBLUE,"122,515",Stone Music Entertainment
2012,6집 싸이6甲 Part 1,,Psy,"106,594",지니뮤직
2012,10집 The Return,,神话,"83,058",Stone Music Entertainment
2012,Humanoids (Repackage),,东方神起,"80,386",지니뮤직
2012,1집 New Breed,,朴宰范,"76,829",Universal Music
2012,Funky Town,,T-ara,"76,749",로엔엔터테인먼트
2012,‘Electric Shock’ The 2nd Mini Album,,f(x),"74,694",지니뮤직
2012,Another Me,,金圣圭(Infinite),"70,552",로엔엔터테인먼트
2012,Pandora,,Kara,"70,425",Stone Music Entertainment
2012,"23, Male, Single",,장우영 (2PM),"68,462",지니뮤직
2012,It`s,,Teen Top,"65,269",로엔엔터테인먼트
2012,In The Wind,,B1A4,"63,664",포니캐년코리아
2012,Grown-Up,,FTISLAND,"60,891",Stone Music Entertainment
2012,Uncommitted,,XIA俊秀,"60,000",에이앤지모즈
2012,MBLAQ 4th Mini Album `100%Ver.`,,MBLAQ,"58,175",Stone Music Entertainment
2012,Volume Up,,4Minute,"56,174",Universal Music
2012,The First Collage,,양요섭 (비스트),"53,754",Universal Music
2012,4집 Five Treasure Box,,FTISLAND,"53,439",Stone Music Entertainment
2012,The Boys,,少女时代,"52,863",지니뮤직
2012,The B1A4Ⅰ`IGNITION` Special Edition,,B1A4,"52,562",포니캐년코리아
2012,1집 The B1A4Ⅰ(IGNITION),,B1A4,"50,733",포니캐년코리아
2012,aRtisT,,Teen Top,"45,979",로엔엔터테인먼트
2012,형돈이와 대준이 미니 3집/닭크 껭스타(CD),,형돈이와 대준이,"44,496",로엔엔터테인먼트
2012,2집 Last Fantasy,,IU,"43,137",로엔엔터테인먼트
2012,The 5th Album Repackage A-CHA,,Super Junior,"41,207",지니뮤직
2012,Day By Day,,T-ara,"40,928",로엔엔터테인먼트
2012,Paradise,,Infinite,"40,744",Stone Music Entertainment
2012,Principle Of My Soul,,나얼,"39,376",로엔엔터테인먼트
2012,1집 Blockbuster,,Block B,"39,130",로엔엔터테인먼트
2012,버스커 버스커 1집 마무리,,Busker Busker,"38,310",Stone Music Entertainment
2012,Warrior,,B.A.P,"34,882",로엔엔터테인먼트
2012,7집 Only One,,BoA,"34,255",지니뮤직
2012,Welcome To The Block,,Block B,"33,925",로엔엔터테인먼트
2012,스무 살의 봄,,IU,"33,486",로엔엔터테인먼트
2012,Power,,B.A.P,"33,255",로엔엔터테인먼트
2012,F.Scott Fitzgerald′s Way Of Love,,2AM,"32,553",지니뮤직
2012,Mirage,,T-ara,"32,155",로엔엔터테인먼트
2012,The 1st Asia Tour Concert Album `SHINe...,,SHINee,"31,958",지니뮤직
2012,야누스,,Boyfriend,"29,480",로엔엔터테인먼트
2012,5집 Mr. Simple,,Super Junior,"29,174",지니뮤직
2012,7집 99,,Epik High,"27,887",지니뮤직
2012,Wonder Party,,원더걸스 (Wonder Girls),"27,201",지니뮤직
2012,5집 Slip Away,,Nell,"26,143",로엔엔터테인먼트
2012,Love Style,,Boyfriend,"24,732",로엔엔터테인먼트
2012,사랑비 OST,,Various Artists,"24,520",Universal Music
2012,넌 내게 반했어 OST Part 1,,Various Artists,"24,199",Stone Music Entertainment
2012,Winter Poetry,,신혜성 (신화),"24,102",Stone Music Entertainment
2012,MBLAQ 4th Mini Album ′BLAQ%Ver.′,,MBLAQ,"23,300",Stone Music Entertainment
2012,All Night (EP),,백청강,"23,300",지니뮤직
2012,Face (Single),,NUEST,"23,108",로엔엔터테인먼트
2012,1집 Une Annee,,Apink,"22,804",Stone Music Entertainment
2012,No Mercy,,B.A.P,"22,585",로엔엔터테인먼트
2012,미니앨범 Ulala Sensation,,울랄라세션,"22,316",Stone Music Entertainment
2012,하지마,,B.A.P,"21,639",로엔엔터테인먼트
2012,Touch,,miss A,"21,613",지니뮤직
2012,베스트앨범 2PM Member′s Selection,,2PM,"21,183",로엔엔터테인먼트
2012,Evolution,,Infinite,"21,159",Stone Music Entertainment
2012,숲,,李晟基,"20,882",로엔엔터테인먼트
2012,Action,,NUEST,"20,770",로엔엔터테인먼트
2012,Summer Special `Loving U`,,Sistar,"19,296",로엔엔터테인먼트
2012,1집 First Step,,CNBLUE,"19,265",Stone Music Entertainment
2012,Knock (EP),,존 박,"18,741",로엔엔터테인먼트
2012,2NE1 2nd Mini Album,,2NE1,"18,416",지니뮤직
2012,Inspirit,,Infinite,"18,165",Stone Music Entertainment
2012,김광석 Best,,金光锡,"17,948",Stone Music Entertainment
2012,1집 Fiction And Fact,,Beast,"17,912",Universal Music
2012,Alone,,Sistar,"17,802",로엔엔터테인먼트
2012,I`m Da One,,조권 (2AM),"17,547",KMP 홀딩스
2012,미니 2집 Solo,,许永生,"17,547",로엔엔터테인먼트
2012,대박사건,,B.A.P,"17,495",로엔엔터테인먼트
2012,1st Mini Album `First Invasion`,,Infinite,"17,154",Stone Music Entertainment
2012,it B1A4,,B1A4,"17,080",포니캐년코리아
2012,맥시싱글 Flashback,,After School,"16,885",로엔엔터테인먼트
2012,1집 Heartbreaker,,G-Dragon,"16,792",지니뮤직
2012,응답하라 1997 감독판 OST,,Various Artists,"16,736",Stone Music Entertainment
2012,SM Best Album 3,,Various Artists,"16,686",지니뮤직
2012,GD & TOP,,GD&TOP (BIGBANG),"16,518",지니뮤직
2012,닥터 진 OST,,Various Artists,"16,485",로엔엔터테인먼트
2012,옥탑방 왕세자 OST Vol.1,,Various Artists,"16,330",SBS 콘텐츠허브
2012,SE7EN NEW MINI ALBUM,,세븐 (SE7EN),"16,274",YG PLUS
2012,Let`s Fly,,B1A4,"15,430",포니캐년코리아
2012,‘Hot Summer‘ f(x) 1st Album Repackage,,f(x),"15,309",지니뮤직
2012,Tara′s Free Time In Paris & Swiss,,T-ara,"15,270",로엔엔터테인먼트
2012,4집 Supersonic,,윤하,"15,110",에이앤지모즈
2012,폭풍속으로 (She`s Gone),,초신성,"15,047",Stone Music Entertainment
2012,넌 내게 반했어 OST Part 2,,Various Artists,"14,902",Stone Music Entertainment
2012,Lee Seung Gi The Best,,李晟基,"14,577",로엔엔터테인먼트
2013,‘XOXO(Kiss Ver.)' EXO 正规1辑Repackage,http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/222F0253535F42028BBA73D87C5EFDA3.jpg,EXO,"335,823",지니뮤직
2013,I Got A Boy,http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/F78C2277548A49D096F0545E2E56F40F.jpg,少女时代,"293,302",지니뮤직
2013,12月的奇迹,http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/56A2B6EF848641CF957F32F6AD387F6F.jpg,EXO,"269,597",지니뮤직
2013,19집 Hello,http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/DB37E90D19B0471784ED987D02004058.jpg,EXO,"262,825",지니뮤직
2013,革命 (COUP D′ETAT),http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/4419E5099A0B4154B50AEEDEBC97DE3E.jpg,조용필,"250,046",Universal Music
2013,SHINee The 3rd Album Chapter 1. 'Dream Girl - The Misconceptions of You',,G-Dragon,"195,603",지니뮤직
2013,Destiny,,SHINee,"185,357",지니뮤직
2013,New Challenge,,Infinite,"163,379",로엔엔터테인먼트
2013,I,,Infinite,"162,797",로엔엔터테인먼트
2013,WWW,,金在中 (JYJ),"148,074",에이앤지모즈
2013,SHINee The 3rd Album Chapter 2. 'Why So Serious? - The Misconceptions of You',,金在中 (JYJ),"132,940",에이앤지모즈
2013,The 5th Mini Album 'Everybody',,SHINee,"131,438",지니뮤직
2013,Re_Blue,,SHINee,"129,003",지니뮤직
2013,3집 Grown,,CNBLUE,"128,026",Stone Music Entertainment
2013,Jekyll,,2PM,"116,278",지니뮤직
2013,Round 3,,VIXX,"112,259",Stone Music Entertainment
