"title_name","title_img","title_artist_album","title_gaon_index","title_ranking","title_production","title_circulation"
"뚜두뚜두 (DDU-DU DDU-DU)","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/F0A31FDB3B7A4E80A9BDF6F36BD7D918.png","BLACKPINK|SQUARE UP","250,700,761","1","YG Entertainment","지니뮤직"
"Dance The Night Away","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/31D4C364C5BB4FDF9414B889CA05AC8B.png","TWICE|Summer Nights","206,883,656","2","JYP Entertainment","IRIVER"
"Way Back Home","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/209FD0570FE944879925FAA4D735BB36.png","숀 (SHAUN)|Take","182,394,848","3","디씨톰엔터테인먼트","Warner Music"
"1도 없어","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/89649B62F8BD49EBA1A120FCD98186C4.png","에이핑크 (Apink)|ONE & SIX","176,609,546","4","플랜에이 엔터테인먼트","로엔엔터테인먼트"
"여행","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/219AC789566D48E1A591E6688BF35B9F.png","볼빨간사춘기|Red Diary Page.2","170,684,026","5","쇼파르뮤직","로엔엔터테인먼트"
"Forever Young","","BLACKPINK|SQUARE UP","158,805,767","6","YG Entertainment","지니뮤직"
"동화","","멜로망스 (MeloMance)|The Fairy Tale","155,287,798","7","민트페이퍼, 광합성","로엔엔터테인먼트"
"너 없인 안 된다","","비투비 (BTOB)|THIS IS US","127,148,989","8","큐브엔터테인먼트","로엔엔터테인먼트"
"모든 날, 모든 순간 (Every day, Every Moment)","","폴킴|`키스 먼저 할까요?` OST Part 3","126,167,954","9","SM Entertainment","IRIVER"
"장마","","마마무 (Mamamoo)|장마","116,763,408","10","RBW","로엔엔터테인먼트"
"너나 해 (Egotistic)","","마마무 (Mamamoo)|RED MOON","110,234,640","11","RBW","로엔엔터테인먼트"
"지나오다","","닐로 (Nilo)|About You","109,679,360","12","닐로 컴퍼니","퍼플파인 엔터테인먼트"
"FAKE LOVE","","방탄소년단|LOVE YOURSELF 轉 `Tear`","105,471,425","13","빅히트 엔터테인먼트","IRIVER"
"주지마","","로꼬, 화사|건반 위의 하이에나 Part.4","98,658,473","14","한국방송공사","로엔엔터테인먼트"
"BAAM","","모모랜드 (MOMOLAND)|Fun to The World","97,538,132","15","엠엘디엔터테인먼트,로엔엔터테인먼트","로엔엔터테인먼트"
"빙글뱅글 (Bingle Bangle)","","AOA|BINGLE BANGLE","95,723,067","16","FNC엔터테인먼트","로엔엔터테인먼트"
"밤 (Time for the moon night)","","여자친구 (GFRIEND)|여자친구 The 6th Mini Album `Time for the ...","93,395,846","17","쏘스뮤직","로엔엔터테인먼트"
"사랑을 했다 (LOVE SCENARIO)","","iKON|Return","82,287,783","18","YG Entertainment","지니뮤직"
"You","","멜로망스(MeloMance)|투유 프로젝트 - 슈가맨2 Part.2","78,199,532","19","JTBC","인터파크"
"Love U","","청하|Blooming Blue","75,992,399","20","MNH Entertainment","Stone Music Entertainment"
"뿜뿜","","모모랜드 (MOMOLAND)|GREAT!","74,708,696","21","엠엘디엔터테인먼트,로엔엔터테인먼트","로엔엔터테인먼트"
"What is Love?","","TWICE|What is Love?","72,362,012","22","JYP Entertainment","IRIVER"
"LATATA","","(여자)아이들|I am","69,270,983","23","큐브엔터테인먼트","로엔엔터테인먼트"
"별이 빛나는 밤","","마마무 (Mamamoo)|Yellow Flower","68,956,323","24","RBW","로엔엔터테인먼트"
"그날처럼","","장덕철|그날처럼","65,907,361","25","리메즈","로엔엔터테인먼트"
"켜줘 (Light)","","Wanna One (워너원)|1÷χ=1 (UNDIVIDED)","64,147,571","26","SWING Entertainment, Stone Music Entertainment","Stone Music Entertainment"
"열애중","","벤 (Ben)|RECIPE","64,020,686","27","메이저나인","지니뮤직"
"Dejavu","","뉴이스트 W|WHO, YOU","62,772,659","28","플레디스","Stone Music Entertainment"
"DNA","","방탄소년단|LOVE YOURSELF 承 `Her`","62,429,963","29","빅히트 엔터테인먼트","IRIVER"
"Roller Coaster","","청하|Offset","62,328,022","30","MNH Entertainment","Stone Music Entertainment"
"My Way","","이수|돈꽃 OST Part 1","61,152,101","31","윈드밀이엔티, 뮤직버디","뮤직앤뉴"
"그때 헤어지면 돼","","로이킴|그때 헤어지면 돼","61,087,831","32","Stone Music Entertainment, MMO Entertainment","Stone Music Entertainment"
"선물","","멜로망스(Melomance)|Moonlight","59,724,983","33","민트페이퍼, 광합성","로엔엔터테인먼트"
"붕붕 (Feat. Sik-K) (Prod. GroovyRoom)","","김하온 (HAON)|고등래퍼2 Final","59,557,903","34","Stone Music Entertainment","Stone Music Entertainment"
"소나기 (Feat. 10cm)","","용준형|소나기","59,059,102","35","어라운드 어스","로엔엔터테인먼트"
"봄날","","방탄소년단|YOU NEVER WALK ALONE","56,386,088","36","빅히트 엔터테인먼트","IRIVER"
"캥거루 (Kangaroo) (Prod. ZICO)","","Wanna One (워너원) - 트리플포지션|1÷χ=1 (UNDIVIDED)","55,168,527","37","SWING Entertainment, Stone Music Entertainment","Stone Music Entertainment"
"넋두리","","닐로 (Nilo)|넋두리","54,814,763","38","닐로엔터테인먼트","퍼플파인 엔터테인먼트"
"여름여름해 (Sunny Summer)","","여자친구 (GFRIEND)|Summer Mini Album `Sunny Summer`","54,126,477","39","쏘스뮤직","로엔엔터테인먼트"
"전하지 못한 진심 (Feat. Steve Aoki)","","방탄소년단|LOVE YOURSELF 轉 `Tear`","51,580,454","40","빅히트 엔터테인먼트","IRIVER"
"미안해","","양다일|inside","50,957,276","41","브랜뉴뮤직","로엔엔터테인먼트"
"마치 우린 없었던 사이 (Prod. 정키)","","다비치|마치 우린 없었던 사이 (Prod. 정키)","50,377,314","42","Stone Music Entertainment","Stone Music Entertainment"
"꽃 길","","빅뱅|꽃 길","49,415,455","43","YG Entertainment","지니뮤직"
"Cereal (Feat. ZICO)","","크러쉬 (CRUSH)|wonderlost","48,968,276","44","아메바컬쳐","Stone Music Entertainment"
"비도 오고 그래서 (Feat. 신용재)","","헤이즈 (Heize)|/// (너 먹구름 비)","48,833,180","45","Stone Music Entertainment","Stone Music Entertainment"
"밤편지","","아이유 (IU)|밤편지","48,054,622","46","페이브엔터테인먼트","로엔엔터테인먼트"
"가을 안부","","먼데이키즈 (Monday Kiz)|가을 안부","47,959,947","47","RBW, 먼데이키즈 컴퍼니","지니뮤직"
"마지막처럼","","BLACKPINK|마지막처럼","47,640,563","48","YG Entertainment","지니뮤직"
"어쩌나","","세븐틴|5TH MINI ALBUM `YOU MAKE MY DAY`","47,160,999","49","플레디스","로엔엔터테인먼트"
"EVERYDAY","","WINNER|EVERYD4Y","46,986,634","50","YG Entertainment","지니뮤직"
"비","","폴킴|비","46,890,795","51","뉴런뮤직","NHN벅스"
"에너제틱 (Energetic)","","Wanna One (워너원)|1X1=1(TO BE ONE)","45,900,984","52","YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT","Stone Music Entertainment"
"빨간 맛 (Red Flavor)","","레드벨벳(Red Velvet)|The Red Summer - Summer Mini Album","44,996,208","53","SM Entertainment","IRIVER"
"그리워하다","","비투비 (BTOB)|Brother Act.","44,329,128","54","큐브엔터테인먼트","로엔엔터테인먼트"
"이 별","","길구봉구|Star","44,159,555","55","뮤직웍스","지니뮤직"
"BOOMERANG (부메랑)","","Wanna One (워너원)|0+1=1 (I PROMISE YOU)","43,842,980","56","YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT","Stone Music Entertainment"
"욕심","","멜로망스(MeloMance)|욕심","43,468,664","57","민트페이퍼, 광합성","로엔엔터테인먼트"
"Anpanman","","방탄소년단|LOVE YOURSELF 轉 `Tear`","42,969,528","58","빅히트 엔터테인먼트","IRIVER"
"지각","","장덕철|Group","40,074,621","59","리메즈","로엔엔터테인먼트"
"잊을만하면","","크러쉬 (CRUSH)|잊을만하면","39,826,400","60","아메바컬쳐","Stone Music Entertainment"
"셋 셀테니 (1, 2, 3!)","","승리|THE GREAT SEUNGRI","38,574,811","61","YG Entertainment","지니뮤직"
"그대만 보여서","","김나영|김비서가 왜 그럴까 OST Part 5","38,454,648","62","본팩토리","로엔엔터테인먼트"
"모래시계 (Prod. 헤이즈)","","Wanna One (워너원) - 더힐|1÷χ=1 (UNDIVIDED)","38,392,592","63","SWING Entertainment, Stone Music Entertainment","Stone Music Entertainment"
"밤이 되니까","","펀치 (Punch)|밤이 되니까","38,099,994","64","냠냠엔터테인먼트","Stone Music Entertainment"
"Beautiful","","Wanna One (워너원)|1-1=0 (NOTHING WITHOUT YOU)","38,049,526","65","YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT","Stone Music Entertainment"
"좋니","","윤종신|LISTEN 010 좋니","37,148,442","66","미스틱 엔터테인먼트","로엔엔터테인먼트"
"REALLY REALLY","","WINNER|FATE NUMBER FOR","35,409,497","67","YG Entertainment","지니뮤직"
"Dejavu","","볼빨간 사춘기|Red Diary `Hidden Track`","34,985,502","68","쇼파르뮤직","로엔엔터테인먼트"
"Universe","","EXO|Universe - 겨울 스페셜 앨범, 2017","34,167,310","69","SM Entertainment","IRIVER"
"우리 둘만 아는","","윤건|우리 둘만 아는","33,690,959","70","센토엔터테인먼트","지니뮤직"
"Heart Shaker","","TWICE|Merry & Happy","33,472,002","71","JYP Entertainment","IRIVER"
"Airplane pt.2","","방탄소년단|LOVE YOURSELF 轉 `Tear`","32,818,694","72","빅히트 엔터테인먼트","IRIVER"
"불행 (Feat. 빈첸 (VINXEN))","","오반 (OVAN)|불행","32,664,508","73","로맨틱팩토리","로엔엔터테인먼트"
"빛나리","","펜타곤 (PENTAGON)|Positive","31,934,798","74","큐브엔터테인먼트","로엔엔터테인먼트"
"Bad Boy","","레드벨벳(Red Velvet)|The Perfect Red Velvet - The 2nd Album...","31,825,517","75","SM Entertainment","IRIVER"
"SoulMate (Feat. 아이유)","","지코 (ZICO)|SoulMate","31,418,365","76","세븐시즌스","Sony Music"
"시차 (We Are) (Feat. 로꼬 & GRAY)","","우원재|시차 (We Are)","31,076,785","77","AOMG","Stone Music Entertainment"
"Really","","BLACKPINK|SQUARE UP","30,461,157","78","YG Entertainment","지니뮤직"
"Magic Shop","","방탄소년단|LOVE YOURSELF 轉 `Tear`","30,208,170","79","빅히트 엔터테인먼트","IRIVER"
"바코드 (Prod. GroovyRoom)","","김하온 (HAON), 이병재 (Vinxen)|고등래퍼2 팀대항전 Part 3","30,036,097","80","Stone Music Entertainment","Stone Music Entertainment"
"약속해요 (I.P.U.)","","Wanna One (워너원)|약속해요 (I.P.U.) - Special Theme Track","29,859,478","81","YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT","Stone Music Entertainment"
"그 날 (Original Ver.)","","박효신|미스터 션샤인 OST Part 1","29,825,021","82","글러브엔터테인먼트, Stone Music Entertainment, 화앤담픽쳐스","Stone Music Entertainment"
"instagram","","DEAN|instagram","29,421,803","83","Joombas Co Ltd & Universal Music","Universal Music"
"영원+1 (Prod. NELL)","","Wanna One (워너원) - 린온미|1÷χ=1 (UNDIVIDED)","29,288,661","84","SWING Entertainment, Stone Music Entertainment","Stone Music Entertainment"
"all of my life","","박원|0M","29,257,207","85","메이크어스엔터테인먼트","로엔엔터테인먼트"
"Love Maze","","방탄소년단|LOVE YOURSELF 轉 `Tear`","29,240,110","86","빅히트 엔터테인먼트","IRIVER"
"낙원","","방탄소년단|LOVE YOURSELF 轉 `Tear`","28,592,708","87","빅히트 엔터테인먼트","IRIVER"
"북극성 (Polaris)","","뉴이스트 W|WHO, YOU","28,303,802","88","플레디스","Stone Music Entertainment"
"눈사람","","정승환|눈사람","27,568,290","89","안테나뮤직","지니뮤직"
"Jenga (Feat. Gaeko)","","헤이즈 (Heize)|바람","27,416,854","90","Stone Music Entertainment, Studio blu","Stone Music Entertainment"
"花요일 (Blooming Day)","","EXO-CBX (첸백시)|Blooming Days - The 2nd Mini Album","27,341,682","91","SM Entertainment","IRIVER"
"그해 여름","","양다일, 웬디 (WENDY)|그해 여름","27,279,310","92","브랜뉴뮤직","로엔엔터테인먼트"
"첫눈처럼 너에게 가겠다","","에일리 (Ailee)|도깨비 OST Part 9","27,106,383","93","Stone Music Entertainment, 화앤담픽쳐스","Stone Music Entertainment"
"LIKEY","","TWICE|twicetagram","27,073,574","94","JYP Entertainment","IRIVER"
"이 밤의 끝","","펀치 (Punch)|이 밤의 끝","27,044,572","95","냠냠엔터테인먼트","Stone Music Entertainment"
"134340","","방탄소년단|LOVE YOURSELF 轉 `Tear`","26,093,522","96","빅히트 엔터테인먼트","IRIVER"
"데리러 가 (Good Evening)","","샤이니 (SHINee)|`The Story of Light` EP.1 - The 6th Al...","26,066,352","97","SM Entertainment","IRIVER"
"여보세요","","뉴이스트 (NU`EST)|여보세요","25,750,195","98","플레디스","로엔엔터테인먼트"
"11 (Prod. 다이나믹듀오)","","Wanna One (워너원) - 남바완|1÷χ=1 (UNDIVIDED)","25,686,649","99","SWING Entertainment, Stone Music Entertainment","Stone Music Entertainment"
"The Feeling","","비투비 (BTOB)|The Feeling","25,188,253","100","큐브엔터테인먼트","로엔엔터테인먼트"